"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty","Url"
2023,"Leverkusen","Bundesliga","Andrey Lunyov","RUS","GK","30",1991,1,1,90,1,2,2,4,2,50,0,0,1,0,0,0,0,0,0,NA,"https://fbref.com/en/players/8a6ab963/Andrey-Lunyov"
2023,"Lille","Ligue 1","Leonardo César Jardim","BRA","GK","27",1995,6,6,540,6,13,2.17,15,4,26.7,3,1,2,0,0,2,2,0,0,0,"https://fbref.com/en/players/f5dfc256/Leonardo-Cesar-Jardim"
2023,"Lille","Ligue 1","Lucas Chevalier","FRA","GK","20",2001,32,32,2880,32,31,0.97,105,76,72.4,16,9,7,10,31.3,3,2,1,0,33.3,"https://fbref.com/en/players/b3d76d84/Lucas-Chevalier"
2023,"Liverpool","Premier League","Alisson","BRA","GK","29",1992,37,37,3330,37,43,1.16,147,105,72.1,19,9,9,14,37.8,4,2,1,1,33.3,"https://fbref.com/en/players/7a2e46a8/Alisson"
2023,"Liverpool","Premier League","Caoimhín Kelleher","IRL","GK","23",1998,1,1,90,1,4,4,10,6,60,0,1,0,0,0,0,0,0,0,NA,"https://fbref.com/en/players/62d7ef38/Caoimhin-Kelleher"
2023,"Lorient","Ligue 1","Vito Mannone","ITA","GK","34",1988,18,17,1608,17.9,24,1.34,84,60,72.6,4,6,7,5,29.4,1,1,0,0,0,"https://fbref.com/en/players/c4173f1a/Vito-Mannone"
2023,"Lorient","Ligue 1","Yvon Mvogo","SUI","GK","28",1994,21,21,1812,20.1,29,1.44,98,70,71.4,11,4,6,3,14.3,1,1,0,0,0,"https://fbref.com/en/players/dc29b608/Yvon-Mvogo"
2023,"Lyon","Ligue 1","Anthony Lopes","POR","GK","31",1990,32,32,2816,31.3,39,1.25,131,94,75.6,16,4,12,7,21.9,7,7,0,0,0,"https://fbref.com/en/players/f00de885/Anthony-Lopes"
2023,"Lyon","Ligue 1","Rémy Riou","FRA","GK","34",1987,7,6,601,6.7,8,1.2,24,17,83.3,2,4,0,1,16.7,4,4,0,0,0,"https://fbref.com/en/players/7f41ee30/Remy-Riou"
2023,"M'Gladbach","Bundesliga","Jan Jakob Olschowsky","GER","GK","20",2001,4,4,360,4,11,2.75,31,20,67.7,1,1,2,0,0,1,1,0,0,0,"https://fbref.com/en/players/fa4cabd1/Jan-Jakob-Olschowsky"
2023,"M'Gladbach","Bundesliga","Jonas Omlin","SUI","GK","28",1994,15,15,1290,14.3,18,1.26,56,38,71.4,5,4,6,5,33.3,2,2,0,0,0,"https://fbref.com/en/players/c631f952/Jonas-Omlin"
2023,"M'Gladbach","Bundesliga","Tobias Sippel","GER","GK","34",1988,6,5,510,5.7,12,2.12,33,21,66.7,1,1,3,1,20,1,1,0,0,0,"https://fbref.com/en/players/0d8a37c2/Tobias-Sippel"
2023,"M'Gladbach","Bundesliga","Yann Sommer","SUI","GK","33",1988,10,10,900,10,14,1.4,60,47,80,4,4,2,3,30,2,2,0,0,0,"https://fbref.com/en/players/420c18a1/Yann-Sommer"
2023,"Mainz 05","Bundesliga","Finn Dahmen","GER","GK","24",1998,8,8,720,8,16,2,44,26,65.9,3,2,3,0,0,3,1,2,0,66.7,"https://fbref.com/en/players/dee3013b/Finn-Dahmen"
2023,"Mainz 05","Bundesliga","Robin Zentner","GER","GK","27",1994,26,26,2340,26,39,1.5,109,69,67,9,8,9,7,26.9,5,3,1,1,25,"https://fbref.com/en/players/5c4bf6ba/Robin-Zentner"
